City,State,cpi weightage
Asansol,West Bengal,47.2
Bhagalpur,Bihar,14.6
Bhubaneshwar,Orissa,27.95
Bilaspur,Chhatisgarh,38.71
Burdwan,West Bengal,47.2
Cuttack,Orissa,27.95
Darjeeling,West Bengal,47.2
Deoghar,Jharkhand,38.16
Dhanbad,Jharkhand,38.16
Durgapur,West Bengal,47.2
Gangtok,Sikkim,32.61
Guwahati,Assam,20.59
Jamshedpur,Jharkhand,38.16
Jorhat,Assam,20.59
Kharagpur,West Bengal,47.2
Kolkata,West Bengal,47.2
Nagpur,Maharashtra,66.5
Patna,Bihar,14.6
Raipur,Chhatisgarh,38.71
Ranchi,Jharkhand,38.16
Sambalpur,Orissa,27.95
Silchar,Assam,20.59
Siliguri,West Bengal,47.2
